SEQ,REG_CUSER,REG_SNO,AIR_TYPE,AIR_BUILD_NO,AIR_BUILD_DATE,AIR_AGE,REG_DATE,AIR_LIMIT_MAN,AIR_FLY_WEIGHT,REG_JANG,PROC_TYPE,PRJ_GBN
23,진에어,HL8015,B737-800,42061,15.09.30,3,15.10.13,189,79.0ton,김포공항,임차,국제항공운송사업
24,진에어,HL8014,B737-800,42051,15.10.12,3,15.10.23,189,79.0ton,김포공항,임차,국제항공운송사업
25,진에어,HL8016,B737-800,41341,16.03.05,3,16.03.18,189,79ton,김포공항,임차,국제항공운송사업
26,진에어,HL8017,B737-800,42055,16.06.19,3,16.06.29,189,79.0ton,청주국제공항,임차,국제항공운송사업
1,창운항공,HL9156,H-369D,510966D,81.06.03,38,03.01.18,5,1.36ton,김포공항,구매,항공기사용사업
1,천우항공,HL1267,T-206H,T20608075,99.05.24,20,18.07.03,6,1633kg,고흥만 경비행고흥만 ,구매,항공기사용사업
1,첨단공간정보,HL1004,TU-206G,U20605318,80.10.08,38,98.10.27,3,1.633ton,김포공항,구매,항공기사용사업
1,초당학원,HL1188,DA 40 NG,40.N144,14.02.19,5,14.06.18,4,2822lbs,무안공항,구매,자가용
2,초당학원,HL1189,DA 40 NG,40.N145,14.02.19,5,14.06.18,4,2822lbs,무안공항,구매,자가용
3,초당학원,HL1190,DA 40 NG,40.N176,14.03.11,5,14.06.18,4,2822lbs,무안공항,구매,자가용
4,초당학원,HL1226,DA 40 NG,40.N275,15.02.23,4,15.06.17,4,2822lbs,무안공항,구매,자가용
5,초당학원,HL1227,DA 40 NG,40.N276,15.03.03,4,15.06.17,4,2822lbs,무안공항,구매,자가용
6,초당학원,HL1228,DA 40 NG,40.N277,15.03.17,4,15.06.17,4,2822lbs,무안공항,구매,자가용
7,초당학원,HL1229,DA 40 NG,40.N278,15.03.17,4,15.06.17,4,2822lbs,무안공항,구매,자가용
8,초당학원,HL2041,DA 42 NG,40.N181,15.05.13,4,15.07.13,4,1900kg,무안공항,구매,자가용
9,초당학원,HL1264,DA 40 NG,40.N325,17.03.23,2,17.07.07,4,1310kg,무안공항,구매,자가용
10,초당학원,HL1265,DA 40 NG,40.N326,17.03.23,2,17.07.07,4,1310kg,무안공항,구매,자가용
11,초당학원,HL1266,DA-40NG,40.N327,17.03.22,2,17.07.07,4,1310kg,무안공항,구매,자가용
1,충청남도,HL9611,AW139,41404,15.06.05,4,15.11.09,14,6400kg,한서대학교 태안비행장,구매,자가용
1,충청북도,HL9457,BK117C-2,4007,04.10.30,14,07.11.23,10,3.585ton,청주시 17전투비행단,구매,자가용
1,케이바스,HL1115,A188B,18801418,74.07.09,44,10.03.25,1,1.814ton,김포공항,구매,항공기사용사업
2,케이바스,HL2036,CL-215-1A10,1096,87.04.23,32,11.12.19,3,19731kg,사천공항,구매,항공기사용사업
1,코리아익스프레스에어,HL9293,BK117,1005,84.02.09,35,06.08.11,8,2.850ton,김포공항,구매,소형항공기운송사업
2,코리아익스프레스에어,HL8054,EMB-145EP,145065,98.06.24,21,15.12.10,50,20990kg,양양국제공항,임차,소형항공기운송사업
3,코리아익스프레스에어,HL8094,EMB-145EP,145187,99.10.22,19,17.02.08,50,20990kg,강원도 양양,임차,소형항공기운송사업
4,코리아익스프레스에어,HL8358,EMB-145LR,145348,00.11.24,18,19.01.04,50,22000kg,무안공항,임차,소형항공기운송사업
1,터보라인(주),HL1103,C-172M,17262581,80.11.14,38,06.05.23,4,2300lbs,양양공항,구매,항공기사용사업
1,트랜스헬리,HL9621,S-58HT,58-1464,62.02.01,57,16.01.14,18,12500lbs,전북임실관촌,구매,항공기사용사업
2,트랜스헬리,HL9629,S-58JT,58-1502,77.02.01,42,16.12.09,18,12500lbs,전북임실관촌,구매,항공기사용사업
3,트랜스헬리,HL9238,S-58JT,58-801,80.02.07,39,88.10.19,14,5.67ton,전북임실관촌,구매,항공기사용사업
1,티웨이항공,HL8235,B737-800,39448,10.08.31,8,10.09.09,189,70.533ton,김포공항,임차,국제항공운송사업
2,티웨이항공,HL8237,B737-800,30654,03.03.13,16,11.01.21,189,79.015ton,제주국제공항,임차,국제항공운송사업
3,티웨이항공,HL8253,B737-800,28069,98.05.10,21,11.08.09,186,78.244ton,제주국제공항,임차,국제항공운송사업
